name_latin,name_cyrillic,elevation,reference_place_cyrillic,HDD,district_latin,district_cyrillic
Titel,Тител,79,Зрењанин,2589.7,Juznobacki,Јужнобачки
Topola,Топола,272,Смедеревска Паланка,2554.6,Sumadijski,Шумадијски
Trgoviste,Трговиште,805,Врање,2662.9,Pcinjski,Пчињски
Trstenik,Трстеник,172,Крушевац,2588.6,Rasinski,Расински
Tutin,Тутин,867,Сјеница,3956,Raski,Рашки
Cuprija,Ћуприја,124,Ћуприја,2666.2,Pomoravski,Поморавски
Uzice,Ужице,411,Пожега,3062,Zlatiborski,Златиборски
Cajetina,Чајетина,843,Златибор,3633.9,Zlatiborski,Златиборски
Cacak,Чачак,242,Пожега,3062,Moravicki,Моравички
Coka,Чока,81,Кикинда,2644.2,Severnobanatski,Севернобанатски
Sabac,Шабац,83,Лозница,2478.7,Macvanski,Мачвански
Sid,Шид,98,Сремска Митровица,2628.9,Sremski,Сремски
